english,japanese
be,～です、いる、ある
have,持っている、食べる
do,する
go,行く
come,来る
say,言う
get,得る、手に入れる
make,作る
take,取る、連れて行く
see,見る、会う
know,知っている
think,思う、考える
look,見る
want,欲しがる
use,使う
find,見つける
give,与える、あげる
tell,話す、伝える
work,働く
call,呼ぶ、電話する
try,試す、やってみる
ask,尋ねる、頼む
need,必要とする
feel,感じる
become,～になる
leave,去る、出発する、残す
put,置く
mean,意味する
keep,保つ、続ける
let,～させる
begin,始める、始まる
seem,～のように見える
help,助ける、手伝う
talk,話す
turn,回る、曲がる
start,始める、始まる
show,見せる
hear,聞こえる
play,遊ぶ、演奏する
run,走る
move,動く、引っ越す
like,好む
live,住む、生きる
believe,信じる
hold,持つ、開催する
bring,持ってくる
happen,起こる
write,書く
sit,座る
stand,立つ
